year,birth_total,birth_male,birth_female,birth_rate,birth_gender_ratio,total_fertility_rate,population_male,population_female,population_total,total_death,death_rate(CDR),Life_expectancy_at_birth,infant_death_total,infant_death_male,infant_death_female,infant_death_unknown_gender,infant_death_rate,infant_death_gender_ratio,infant_deaths_in_total_deaths,stillbirth_total,stillbirth_male,stillbirth_female,stillbirth_unknown_gender,stillbirth_rate,stillbirth_gender_ratio,firstborn,secondborn,thirdborn,forthborn,fifthborn_and_above,weeks_under_28,weeks_28-31,weeks_32-36,weeks_37-41,weeks_over_42,mother_age_avg,mother_age_firstborn,mother_age_secondborn,mother_age_thirdborn,mother_age_under_19,mother_age_20-24,mother_age_25-29,mother_age_30-34,mother_age_35-39,mother_age_40-44,mother_age_over_45,father_age_avg,father_age_firstborn,father_age_secondborn,father_age_thirdborn,legitimate_child,illegitimate_child
1996,1206555,619793,586762,9.7,105.6,1.4,61115000,63594000,124709000,896210.94,7.19,80.35,4546,2532,2014,0,3.8,125.7,0.5,39536,17825,8711,13000,31.7,204.6,574054,444571,154457,26532,6941,2341,5047,52933,1131740,14064,29.2,27.6,29.9,32.0,,,,,,,,31.8,30.1,32.4,34.8,,
1997,1191665,610905,580760,9.5,105.2,1.4,61210000,63753000,124963000,913402.02,7.31,80.58,4403,2414,1989,0,3.7,121.4,0.5,39546,17671,8397,13478,32.1,210.4,571608,437120,150257,25845,6835,2409,4863,52084,1117912,13891,29.3,27.7,30.0,32.1,,,,,,,,31.7,30.1,32.5,34.8,,
1998,1203147,617414,585733,9.6,105.4,1.4,61311000,63941000,125252000,936483.99,7.48,80.65,4380,2364,2016,0,3.6,117.3,0.5,38988,17588,8346,13054,31.4,210.7,583588,439459,148163,25230,6707,2461,5200,53375,1128537,13056,29.4,27.8,30.1,32.1,,,,,,,,31.7,30.1,32.5,34.7,,
1999,1177669,604769,572900,9.4,105.6,1.3,61358000,64074000,125432000,982031.03,7.83,80.62,4010,2224,1786,0,3.4,124.5,0.4,38452,17267,8250,12935,31.6,209.3,579150,427385,140682,23738,6714,2496,5391,52919,1105141,11176,29.4,27.9,30.2,32.2,,,,,,,,31.7,30.1,32.6,34.7,,
2000,1190547,612148,578399,9.5,105.8,1.4,61488005,64124628,125612633,961653.02,7.66,81.20,3830,2107,1723,0,3.2,122.3,0.4,38393,17307,7975,13111,31.2,217.0,583220,434964,141011,24644,6708,2540,5837,55629,1116195,9838,29.6,28.0,30.4,32.3,19772,161361,470833,396901,126409,14848,402,31.8,30.2,32.6,34.7,1171111,19436
2001,1170662,600918,569744,9.3,105.5,1.3,61595000,64313000,125908000,970330.98,7.71,81.53,3599,1989,1610,0,3.1,123.5,0.4,37467,16733,7499,13235,31.0,223.1,573918,428197,137814,24058,6675,2589,5413,54198,1098675,9292,29.7,28.2,30.4,32.4,,,,,,,,31.8,30.2,32.6,34.7,1150293,20369
2002,1153855,592840,561015,9.2,105.7,1.3,61591000,64417000,126008000,982378.97,7.80,81.81,3497,1903,1594,0,3.0,119.4,0.4,36978,16602,7501,12875,31.1,221.3,571501,421042,131636,23037,6639,2663,5269,54357,1082257,8817,29.8,28.3,30.6,32.5,,,,,,,,31.9,30.4,32.6,34.7,1132224,21631
2003,1123610,576736,546874,8.9,105.5,1.3,61620000,64520000,126139000,1014951.00,8.05,81.88,3364,1787,1577,0,3.0,113.3,0.3,35330,15658,7071,12601,30.5,221.4,547170,419100,128083,22615,6642,2874,5303,53966,1053036,7929,30.0,28.6,30.7,32.5,,,,,,,,32.0,30.6,32.7,34.7,1101976,21634
2004,1110721,569559,541162,8.8,105.2,1.3,61597000,64579000,126176000,1028601.99,8.15,82.15,3122,1716,1406,0,2.8,122.0,0.3,34365,15352,6845,12168,30.0,224.3,537913,417647,126117,22458,6586,2868,5327,54741,1040547,6795,30.2,28.9,30.9,32.6,,,,,,,,32.2,30.9,32.8,34.6,1088565,22156
2005,1062530,545032,517498,8.4,105.3,1.3,61617893,64587009,126204902,1083796.02,8.59,82.04,2958,1641,1317,0,2.8,124.6,0.3,31818,13979,6104,11735,29.1,229.0,512412,399307,122501,21841,6469,2667,5139,52571,995674,6042,30.4,29.1,31.0,32.6,16573,128135,339328,404700,153440,19750,598,32.3,31.1,32.9,34.6,1040997,21533
2006,1092674,560439,532235,8.7,105.3,1.3,61568000,64586000,126154000,1084450.94,8.60,82.40,2864,1556,1308,0,2.6,119.0,0.3,30911,13456,6005,11450,27.5,224.1,524581,408531,129555,23164,6843,2817,5222,54279,1024368,5554,30.5,29.2,31.2,32.8,,,,,,,,32.5,31.3,33.1,34.7,1069649,23025
2007,1089818,559847,529971,8.6,105.6,1.3,61511000,64574000,126085000,1108334.06,8.79,82.58,2828,1534,1294,0,2.6,118.5,0.3,29313,12878,5694,10741,26.2,226.2,519767,403656,134951,24203,7241,2869,5281,54963,1021275,5044,30.7,29.4,31.4,32.9,,,,,,,,32.7,31.4,33.3,34.8,1067648,22170
2008,1091156,559513,531643,8.7,105.2,1.4,61424000,64523000,125947000,1142406.98,9.07,82.67,2798,1488,1310,0,2.6,113.6,0.2,28177,12381,5498,10298,25.2,225.2,517724,402152,137945,25804,7531,2824,5063,54932,1023484,4406,30.9,29.5,31.6,33.0,,,,,,,,32.8,31.6,33.5,34.8,1068184,22972
